rank	freq
906	70
907	70
908	70
909	70
910	70
911	70
912	70
913	70
914	70
915	70
916	70
917	70
918	70
919	70
920	70
921	69
922	69
923	69
924	69
925	69
926	69
927	69
928	69
929	69
930	69
931	69
932	69
933	69
934	69
935	68
936	68
937	68
938	68
939	68
940	68
941	68
942	68
943	68
944	68
945	68
946	68
947	68
948	68
949	67
950	67
951	67
952	67
953	67
954	67
955	67
956	67
957	67
958	67
959	67
960	67
961	67
962	67
963	67
964	67
965	67
966	67
967	67
968	66
969	66
970	66
971	66
972	66
973	66
974	66
975	66
976	66
977	66
978	66
979	66
980	66
981	66
982	66
983	66
984	66
985	66
986	66
987	66
988	66
989	66
990	66
991	66
992	66
993	65
994	65
995	65
996	65
997	65
998	65
999	65
1000	65
1001	65
1002	65
1003	65
1004	65
1005	65
1006	65
1007	64
1008	64
1009	64
1010	64
1011	64
1012	64
1013	64
1014	64
1015	64
1016	64
1017	64
1018	64
1019	64
1020	64
1021	64
1022	64
1023	64
1024	64
1025	64
1026	64
1027	64
1028	63
1029	63
1030	63
1031	63
1032	63
1033	63
1034	63
1035	63
1036	63
1037	63
1038	63
1039	63
1040	63
1041	63
1042	63
1043	63
1044	63
1045	62
1046	62
1047	62
1048	62
1049	62
1050	62
1051	62
1052	62
1053	62
1054	62
1055	62
1056	62
1057	62
1058	62
1059	62
1060	62
1061	62
1062	62
1063	61
1064	61
1065	61
1066	61
1067	61
1068	61
1069	61
1070	61
1071	61
1072	61
1073	61
1074	61
1075	61
1076	61
1077	61
1078	61
1079	61
1080	61
1081	61
1082	61
1083	61
1084	60
1085	60
1086	60
1087	60
1088	60
1089	60
1090	60
1091	60
1092	60
1093	60
1094	60
1095	60
1096	60
1097	60
1098	60
1099	60
1100	60
1101	59
1102	59
1103	59
1104	59
1105	59
1106	59
1107	59
1108	59
1109	59
1110	59
1111	59
1112	59
1113	59
1114	59
1115	59
1116	59
1117	59
1118	59
1119	59
1120	59
1121	59
1122	59
1123	58
1124	58
1125	58
1126	58
1127	58
1128	58
1129	58
1130	58
1131	58
1132	58
1133	58
1134	58
1135	58
1136	58
1137	58
1138	58
1139	58
1140	57
1141	57
1142	57
1143	57
1144	57
1145	57
1146	57
1147	57
1148	57
1149	57
1150	57
1151	57
1152	57
1153	57
1154	57
1155	57
1156	57
1157	57
1158	57
1159	57
1160	57
1161	57
1162	57
1163	56
1164	56
1165	56
1166	56
1167	56
1168	56
1169	56
1170	56
1171	56
1172	56
1173	56
1174	56
1175	56
1176	56
1177	56
1178	56
1179	56
1180	56
1181	56
1182	56
1183	56
1184	56
1185	56
1186	56
1187	56
1188	56
1189	55
1190	55
1191	55
1192	55
1193	55
1194	55
1195	55
1196	55
1197	55
1198	55
1199	55
1200	55
1201	55
1202	55
1203	55
1204	55
1205	55
1206	55
1207	54
1208	54
1209	54
1210	54
1211	54
1212	54
1213	54
1214	54
1215	54
1216	54
1217	54
1218	54
1219	54
1220	54
1221	54
1222	54
1223	54
1224	54
1225	54
1226	54
1227	54
1228	54
1229	54
1230	53
1231	53
1232	53
1233	53
1234	53
1235	53
1236	53
1237	53
1238	53
1239	53
1240	53
1241	53
1242	53
1243	53
1244	53
1245	53
1246	53
1247	53
1248	53
1249	52
1250	52
1251	52
1252	52
1253	52
1254	52
1255	52
1256	52
1257	52
1258	52
1259	52
1260	52
1261	52
1262	52
1263	52
1264	52
1265	52
1266	52
1267	52
1268	52
1269	52
1270	52
1271	52
1272	52
1273	52
1274	51
1275	51
1276	51
1277	51
1278	51
1279	51
1280	51
1281	51
1282	51
1283	51
1284	51
1285	51
1286	51
1287	51
1288	51
1289	51
1290	51
1291	51
1292	51
1293	51
1294	51
1295	51
1296	50
1297	50
1298	50
1299	50
1300	50
1301	50
1302	50
1303	50
1304	50
1305	50
1306	50
1307	50
1308	50
1309	50
1310	50
1311	50
1312	50
1313	50
1314	50
1315	50
1316	50
1317	50
1318	50
1319	50
1320	50
1321	50
1322	50
1323	50
1324	50
1325	50
1326	50
1327	50
1328	49
1329	49
1330	49
1331	49
1332	49
1333	49
1334	49
1335	49
1336	49
1337	49
1338	49
1339	49
1340	49
1341	49
1342	49
1343	49
1344	49
1345	49
1346	49
1347	49
1348	49
1349	49
1350	49
1351	49
1352	49
1353	49
1354	48
1355	48
1356	48
1357	48
1358	48
1359	48
1360	48
1361	48
1362	48
1363	48
1364	48
1365	48
1366	48
1367	48
1368	48
1369	48
1370	48
1371	48
1372	48
1373	48
1374	48
1375	48
1376	48
1377	48
1378	48
1379	48
1380	48
1381	48
1382	48
1383	48
1384	48
1385	47
1386	47
1387	47
1388	47
1389	47
1390	47
1391	47
1392	47
1393	47
1394	47
1395	47
1396	47
1397	47
1398	47
1399	47
1400	47
1401	47
1402	47
1403	47
1404	47
1405	47
1406	47
1407	47
1408	47
1409	47
1410	47
1411	47
1412	47
1413	47
1414	47
1415	47
1416	47
1417	47
1418	47
1419	47
1420	47
1421	47
1422	47
1423	46
1424	46
1425	46
1426	46
1427	46
1428	46
1429	46
1430	46
1431	46
1432	46
1433	46
1434	46
1435	46
1436	46
1437	46
1438	46
1439	46
1440	46
1441	46
1442	46
1443	46
1444	46
1445	46
1446	46
1447	46
1448	46
1449	46
1450	46
1451	46
1452	46
1453	46
1454	46
1455	46
1456	46
1457	45
1458	45
1459	45
1460	45
1461	45
1462	45
1463	45
1464	45
1465	45
1466	45
1467	45
1468	45
1469	45
1470	45
1471	45
1472	45
1473	45
1474	45
1475	45
1476	45
1477	45
1478	45
1479	45
1480	45
1481	45
1482	45
1483	45
1484	45
1485	45
1486	45
1487	45
1488	45
1489	44
1490	44
1491	44
1492	44
1493	44
1494	44
1495	44
1496	44
1497	44
1498	44
1499	44
1500	44
1501	44
1502	44
1503	44
1504	44
1505	44
1506	44
1507	44
1508	44
1509	44
1510	44
1511	44
1512	44
1513	44
1514	44
1515	44
1516	43
1517	43
1518	43
1519	43
1520	43
1521	43
1522	43
1523	43
1524	43
1525	43
1526	43
1527	43
1528	43
1529	43
1530	43
1531	43
1532	43
1533	43
1534	43
1535	43
1536	43
1537	43
1538	43
1539	43
1540	43
1541	43
1542	43
1543	43
1544	43
1545	43
1546	43
1547	43
1548	43
1549	43
1550	43
1551	43
1552	43
1553	43
1554	42
1555	42
1556	42
1557	42
1558	42
1559	42
1560	42
1561	42
1562	42
1563	42
1564	42
1565	42
1566	42
1567	42
1568	42
1569	42
1570	42
1571	42
1572	42
1573	42
1574	42
1575	42
1576	42
1577	42
1578	42
1579	42
1580	42
1581	42
1582	42
1583	42
1584	42
1585	42
1586	42
1587	42
1588	42
1589	42
1590	42
1591	42
1592	42
1593	42
1594	42
1595	42
1596	41
1597	41
1598	41
1599	41
1600	41
1601	41
1602	41
1603	41
1604	41
1605	41
1606	41
1607	41
1608	41
1609	41
1610	41
1611	41
1612	41
1613	41
1614	41
1615	41
1616	41
1617	41
1618	41
1619	41
1620	41
1621	41
1622	41
1623	41
1624	41
1625	41
1626	41
1627	41
1628	41
1629	41
1630	41
1631	41
1632	41
1633	41
1634	41
1635	41
1636	41
1637	41
1638	41
1639	41
1640	40
1641	40
1642	40
1643	40
1644	40
1645	40
1646	40
1647	40
1648	40
1649	40
1650	40
1651	40
1652	40
1653	40
1654	40
1655	40
1656	40
1657	40
1658	40
1659	40
1660	40
1661	40
1662	40
1663	40
1664	40
1665	40
1666	40
1667	40
1668	40
1669	40
1670	40
1671	40
1672	40
1673	40
1674	40
1675	40
1676	40
1677	40
1678	40
1679	40
1680	40
1681	40
1682	40
1683	40
1684	40
1685	40
1686	40
1687	40
1688	40
1689	39
1690	39
1691	39
1692	39
1693	39
1694	39
1695	39
1696	39
1697	39
1698	39
1699	39
1700	39
1701	39
1702	39
1703	39
1704	39
1705	39
1706	39
1707	39
1708	39
1709	39
1710	39
1711	39
1712	39
1713	39
1714	39
1715	39
1716	39
1717	39
1718	39
1719	39
1720	39
1721	39
1722	39
1723	39
1724	39
1725	39
1726	39
1727	39
1728	39
1729	39
1730	39
1731	39
1732	39
1733	38
1734	38
1735	38
1736	38
1737	38
1738	38
1739	38
1740	38
1741	38
1742	38
1743	38
1744	38
1745	38
1746	38
1747	38
1748	38
1749	38
1750	38
1751	38
1752	38
1753	38
1754	38
1755	38
1756	38
1757	38
1758	38
1759	38
1760	38
1761	38
1762	38
1763	38
1764	38
1765	38
1766	38
1767	38
1768	38
1769	38
1770	38
1771	37
1772	37
1773	37
1774	37
1775	37
1776	37
1777	37
1778	37
1779	37
1780	37
1781	37
1782	37
1783	37
1784	37
1785	37
1786	37
1787	37
1788	37
1789	37
1790	37
1791	37
1792	37
1793	37
1794	37
1795	37
1796	37
1797	37
1798	37
1799	37
1800	37
1801	37
1802	37
1803	37
1804	37
1805	37
1806	37
1807	37
1808	37
1809	37
1810	37
1811	37
1812	37
1813	37
1814	37
1815	37
1816	37
1817	36
1818	36
1819	36
1820	36
1821	36
1822	36
1823	36
1824	36
1825	36
1826	36
1827	36
1828	36
1829	36
1830	36
1831	36
1832	36
1833	36
1834	36
1835	36
1836	36
1837	36
1838	36
1839	36
1840	36
1841	36
1842	36
1843	36
1844	36
1845	36
1846	36
1847	36
1848	36
1849	36
1850	36
1851	36
1852	36
1853	36
1854	36
1855	36
1856	36
1857	36
1858	36
1859	36
1860	36
1861	36
1862	36
1863	36
1864	36
1865	36
1866	36
1867	36
1868	36
1869	36
1870	36
1871	36
1872	36
1873	35
1874	35
1875	35
1876	35
1877	35
1878	35
1879	35
1880	35
1881	35
1882	35
1883	35
1884	35
1885	35
1886	35
1887	35
1888	35
1889	35
1890	35
1891	35
1892	35
1893	35
1894	35
1895	35
1896	35
1897	35
1898	35
1899	35
1900	35
1901	35
1902	35
1903	35
1904	35
1905	35
1906	35
1907	35
1908	35
1909	35
1910	35
1911	35
1912	35
1913	35
1914	35
1915	35
1916	35
1917	35
1918	35
1919	35
1920	35
1921	35
1922	35
1923	34
1924	34
1925	34
1926	34
1927	34
1928	34
1929	34
1930	34
1931	34
1932	34
1933	34
1934	34
1935	34
1936	34
1937	34
1938	34
1939	34
1940	34
1941	34
1942	34
1943	34
1944	34
1945	34
1946	34
1947	34
1948	34
1949	34
1950	34
1951	34
1952	34
1953	34
1954	34
1955	34
1956	34
1957	34
1958	34
1959	34
1960	34
1961	34
1962	34
1963	34
1964	34
1965	34
1966	34
1967	34
1968	34
1969	34
1970	34
1971	34
1972	34
1973	34
1974	34
1975	34
1976	34
1977	34
1978	34
1979	34
1980	34
1981	34
1982	34
1983	34
1984	34
1985	34
1986	34
1987	34
1988	34
1989	34
1990	34
1991	34
1992	34
1993	33
1994	33
1995	33
1996	33
1997	33
1998	33
1999	33
2000	33
2001	33
2002	33
2003	33
2004	33
2005	33
2006	33
2007	33
2008	33
2009	33
2010	33
2011	33
2012	33
2013	33
2014	33
2015	33
2016	33
2017	33
2018	33
2019	33
2020	33
2021	33
2022	33
2023	33
2024	33
2025	33
2026	33
2027	33
2028	33
2029	33
2030	33
2031	33
2032	33
2033	33
2034	33
2035	33
2036	33
2037	33
2038	33
2039	33
2040	33
2041	33
2042	33
2043	33
2044	33
2045	33
2046	33
2047	33
2048	33
2049	33
2050	33
2051	33
2052	33
2053	33
2054	33
2055	33
2056	33
2057	33
2058	33
2059	32
2060	32
2061	32
2062	32
2063	32
2064	32
2065	32
2066	32
2067	32
2068	32
2069	32
2070	32
2071	32
2072	32
2073	32
2074	32
2075	32
2076	32
2077	32
2078	32
2079	32
2080	32
2081	32
2082	32
2083	32
2084	32
2085	32
2086	32
2087	32
2088	32
2089	32
2090	32
2091	32
2092	32
2093	32
2094	32
2095	32
2096	32
2097	32
2098	32
2099	32
2100	32
2101	32
2102	32
2103	32
2104	32
2105	32
2106	32
2107	32
2108	32
2109	32
2110	32
2111	32
2112	32
2113	32
2114	32
2115	32
2116	32
2117	32
2118	32
2119	32
2120	32
2121	32
2122	31
2123	31
2124	31
2125	31
2126	31
2127	31
2128	31
2129	31
2130	31
2131	31
2132	31
2133	31
2134	31
2135	31
2136	31
2137	31
2138	31
2139	31
2140	31
2141	31
2142	31
2143	31
2144	31
2145	31
2146	31
2147	31
2148	31
2149	31
2150	31
2151	31
2152	31
2153	31
2154	31
2155	31
2156	31
2157	31
2158	31
2159	31
2160	31
2161	31
2162	31
2163	31
2164	31
2165	31
2166	31
2167	31
2168	31
2169	31
2170	31
2171	31
2172	31
2173	31
2174	31
2175	31
2176	31
2177	31
2178	31
2179	31
2180	31
2181	31
2182	31
2183	31
2184	31
2185	31
2186	30
2187	30
2188	30
2189	30
2190	30
2191	30
2192	30
2193	30
2194	30
2195	30
2196	30
2197	30
2198	30
2199	30
2200	30
2201	30
2202	30
2203	30
2204	30
2205	30
2206	30
2207	30
2208	30
2209	30
2210	30
2211	30
2212	30
2213	30
2214	30
2215	30
2216	30
2217	30
2218	30
2219	30
2220	30
2221	30
2222	30
2223	30
2224	30
2225	30
2226	30
2227	30
2228	30
2229	30
2230	30
2231	30
2232	30
2233	30
2234	30
2235	30
2236	30
2237	30
2238	30
2239	30
2240	30
2241	30
2242	30
2243	30
2244	30
2245	30
2246	30
2247	29
2248	29
2249	29
2250	29
2251	29
2252	29
2253	29
2254	29
2255	29
2256	29
2257	29
2258	29
2259	29
2260	29
2261	29
2262	29
2263	29
2264	29
2265	29
2266	29
2267	29
2268	29
2269	29
2270	29
2271	29
2272	29
2273	29
2274	29
2275	29
2276	29
2277	29
2278	29
2279	29
2280	29
2281	29
2282	29
2283	29
2284	29
2285	29
2286	29
2287	29
2288	29
2289	29
2290	29
2291	29
2292	29
2293	29
2294	29
2295	29
2296	29
2297	29
2298	29
2299	29
2300	29
2301	29
2302	29
2303	29
2304	29
2305	29
2306	29
2307	29
2308	29
2309	29
2310	29
2311	29
2312	29
2313	29
2314	29
2315	28
2316	28
2317	28
2318	28
2319	28
2320	28
2321	28
2322	28
2323	28
2324	28
2325	28
2326	28
2327	28
2328	28
2329	28
2330	28
2331	28
2332	28
2333	28
2334	28
2335	28
2336	28
2337	28
2338	28
2339	28
2340	28
2341	28
2342	28
2343	28
2344	28
2345	28
2346	28
2347	28
2348	28
2349	28
2350	28
2351	28
2352	28
2353	28
2354	28
2355	28
2356	28
2357	28
2358	28
2359	28
2360	28
2361	28
2362	28
2363	28
2364	28
2365	28
2366	28
2367	28
2368	28
2369	28
2370	28
2371	28
2372	28
2373	27
2374	27
2375	27
2376	27
2377	27
2378	27
2379	27
2380	27
2381	27
2382	27
2383	27
2384	27
2385	27
2386	27
2387	27
2388	27
2389	27
2390	27
2391	27
2392	27
2393	27
2394	27
2395	27
2396	27
2397	27
2398	27
2399	27
2400	27
2401	27
2402	27
2403	27
2404	27
2405	27
2406	27
2407	27
2408	27
2409	27
2410	27
2411	27
2412	27
2413	27
2414	27
2415	27
2416	27
2417	27
2418	27
2419	27
2420	27
2421	27
2422	27
2423	27
2424	27
2425	27
2426	27
2427	27
2428	27
2429	27
2430	27
2431	27
2432	27
2433	27
2434	27
2435	27
2436	27
2437	27
2438	27
2439	27
2440	27
2441	27
2442	27
2443	27
2444	27
2445	27
2446	26
2447	26
2448	26
2449	26
2450	26
2451	26
2452	26
2453	26
2454	26
2455	26
2456	26
2457	26
2458	26
2459	26
2460	26
2461	26
2462	26
2463	26
2464	26
2465	26
2466	26
2467	26
2468	26
2469	26
2470	26
2471	26
2472	26
2473	26
2474	26
2475	26
2476	26
2477	26
2478	26
2479	26
2480	26
2481	26
2482	26
2483	26
2484	26
2485	26
2486	26
2487	26
2488	26
2489	26
2490	26
2491	26
2492	26
2493	26
2494	26
2495	26
2496	26
2497	26
2498	26
2499	26
2500	26
2501	26
2502	26
2503	26
2504	26
2505	26
2506	26
2507	26
2508	26
2509	26
2510	26
2511	26
2512	26
2513	26
2514	26
2515	26
2516	26
2517	26
2518	26
2519	26
2520	26
2521	26
2522	26
2523	26
2524	26
2525	26
2526	26
2527	26
2528	25
2529	25
2530	25
2531	25
2532	25
2533	25
2534	25
2535	25
2536	25
2537	25
2538	25
2539	25
2540	25
2541	25
2542	25
2543	25
2544	25
2545	25
2546	25
2547	25
2548	25
2549	25
2550	25
2551	25
2552	25
2553	25
2554	25
2555	25
2556	25
2557	25
2558	25
2559	25
2560	25
2561	25
2562	25
2563	25
2564	25
2565	25
2566	25
2567	25
2568	25
2569	25
2570	25
2571	25
2572	25
2573	25
2574	25
2575	25
2576	25
2577	25
2578	25
2579	25
2580	25
2581	25
2582	25
2583	25
2584	25
2585	25
2586	25
2587	25
2588	25
2589	25
2590	25
2591	25
2592	25
2593	25
2594	25
2595	25
2596	25
2597	25
2598	25
2599	25
2600	25
2601	25
2602	25
2603	25
2604	25
2605	25
2606	25
2607	25
2608	25
2609	25
2610	25
2611	25
2612	25
2613	25
2614	25
2615	25
2616	25
2617	25
2618	25
2619	25
2620	25
2621	25
2622	25
2623	25
2624	25
2625	25
2626	25
2627	25
2628	24
2629	24
2630	24
2631	24
2632	24
2633	24
2634	24
2635	24
2636	24
2637	24
2638	24
2639	24
2640	24
2641	24
2642	24
2643	24
2644	24
2645	24
2646	24
2647	24
2648	24
2649	24
2650	24
2651	24
2652	24
2653	24
2654	24
2655	24
2656	24
2657	24
2658	24
2659	24
2660	24
2661	24
2662	24
2663	24
2664	24
2665	24
2666	24
2667	24
2668	24
2669	24
2670	24
2671	24
2672	24
2673	24
2674	24
2675	24
2676	24
2677	24
2678	24
2679	24
2680	24
2681	24
2682	24
2683	24
2684	24
2685	24
2686	24
2687	24
2688	24
2689	24
2690	24
2691	24
2692	24
2693	24
2694	24
2695	24
2696	24
2697	24
2698	24
2699	24
2700	24
2701	24
2702	24
2703	24
2704	24
2705	24
2706	24
2707	24
2708	24
2709	24
2710	24
2711	24
2712	24
2713	24
2714	24
2715	24
2716	24
2717	24
2718	24
2719	24
2720	24
2721	24
2722	24
2723	24
2724	24
2725	24
2726	24
2727	24
2728	24
2729	24
2730	24
2731	24
2732	24
2733	24
2734	24
2735	24
2736	24
2737	24
2738	24
2739	24
2740	24
2741	24
2742	24
2743	24
2744	24
2745	24
2746	24
2747	24
2748	24
2749	23
2750	23
2751	23
2752	23
2753	23
2754	23
2755	23
2756	23
2757	23
2758	23
2759	23
2760	23
2761	23
2762	23
2763	23
2764	23
2765	23
2766	23
2767	23
2768	23
2769	23
2770	23
2771	23
2772	23
2773	23
2774	23
2775	23
2776	23
2777	23
2778	23
2779	23
2780	23
2781	23
2782	23
2783	23
2784	23
2785	23
2786	23
2787	23
2788	23
2789	23
2790	23
2791	23
2792	23
2793	23
2794	23
2795	23
2796	23
2797	23
2798	23
2799	23
2800	23
2801	23
2802	23
2803	23
2804	23
2805	23
2806	23
2807	23
2808	23
2809	23
2810	23
2811	23
2812	23
2813	23
2814	23
2815	23
2816	23
2817	23
2818	23
2819	23
2820	23
2821	23
2822	23
2823	23
2824	23
2825	23
2826	23
2827	23
2828	23
2829	23
2830	23
2831	23
2832	23
2833	23
2834	23
2835	23
2836	23
2837	23
2838	23
2839	23
2840	23
2841	23
2842	23
2843	23
2844	23
2845	23
2846	23
2847	23
2848	23
2849	23
2850	23
2851	23
2852	23
2853	23
2854	23
2855	23
2856	23
2857	23
2858	23
2859	23
2860	23
2861	23
2862	23
2863	23
2864	23
2865	23
2866	23
2867	22
2868	22
2869	22
2870	22
2871	22
2872	22
2873	22
2874	22
2875	22
2876	22
2877	22
2878	22
2879	22
2880	22
2881	22
2882	22
2883	22
2884	22
2885	22
2886	22
2887	22
2888	22
2889	22
2890	22
2891	22
2892	22
2893	22
2894	22
2895	22
2896	22
2897	22
2898	22
2899	22
2900	22
2901	22
2902	22
2903	22
2904	22
2905	22
2906	22
2907	22
2908	22
2909	22
2910	22
2911	22
2912	22
2913	22
2914	22
2915	22
2916	22
2917	22
2918	22
2919	22
2920	22
2921	22
2922	22
2923	22
2924	22
2925	22
2926	22
2927	22
2928	22
2929	22
2930	22
2931	22
2932	22
2933	22
2934	22
2935	22
2936	22
2937	22
2938	22
2939	22
2940	22
2941	22
2942	22
2943	22
2944	22
2945	22
2946	22
2947	22
2948	22
2949	22
2950	22
2951	22
2952	22
2953	22
2954	22
2955	22
2956	22
2957	22
2958	22
2959	22
2960	22
2961	22
2962	22
2963	22
2964	22
2965	22
2966	22
2967	22
2968	22
2969	22
2970	22
2971	22
2972	22
2973	22
2974	22
2975	22
2976	22
2977	22
2978	22
2979	22
2980	22
2981	22
2982	22
2983	22
2984	22
2985	22
2986	22
2987	22
2988	22
2989	22
2990	22
